feature_id,text,normalized_text
feature_f96e52213e24612e,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.","gift package for you: with this package you will get a crystal crown and a exquisite gift box. best gift on black friday, cyber monday & christmas"
feature_3153cd6f0c7e9158,❤One Size Fit All: Makone's tiara are suitable for kids (5 years old up) and adults. Size: 5.12 X 5.12 X 1.97 in.,one size fit all: makone's tiara are suitable for kids (5 years old up) and adults. size: 5.12 x 5.12 x 1.97 in
feature_0cea3ce1e347e423,❤Material：Durable hard alloy and rhinestone. Alloy is with diamond look and hard texture for practicality and aesthetics.,material：durable hard alloy and rhinestone. alloy is with diamond look and hard texture for practicality and aesthetics
feature_c858bfab224aa930,❤100% Hand Made Tiaras for Women: All of the Makone’s tiaras are handcrafted with the finest materials for supreme SPARKLE and MAGNIFICENCE!This piece is Handmade of high quality clear Cubic Zircon in plated metal setting.,100% hand made tiaras for women: all of the makone’s tiaras are handcrafted with the finest materials for supreme sparkle and magnificence!this piece is handmade of high quality clear cubic zircon in plated metal setting
feature_2ac9336d662122bd,"❤SERVICE GUARANTEE: We provide 15-days return/replacement service and a one-year warranty. Any issues, feel free to contact with us, Makone will do our best for you.","service guarantee: we provide 15-days return/replacement service and a one-year warranty. any issues, feel free to contact with us, makone will do our best for you"
feature_8984c53a7eb71f26,"This maximum strength hairspray is the go-to hairspray for those who want to give their hair a strong, hard hold while providing lustering, light-catching shine.","this maximum strength hairspray is the go-to hairspray for those who want to give their hair a strong, hard hold while providing lustering, light-catching shine"
feature_794d6a429062d4ad,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.","one of the most popular of the bed head hair care products, the tigi bh hard head hair spray is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. this long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. this product listing contains six bottles of tigi bh hard head hair spray"
feature_782039a12fb16d88,★ Individual Hair Strand:14 inches.,individual hair strand:14 inches
feature_bab63380f07234e3,"★ Material: 100% real hair, Color: #2 Black.","material: 100% real hair, color: #2 black"
feature_b54967838f1bc4cc,"★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.","professional - ideal for braiding,curling,cutting,heat styled,styling,etc.perfect for cosmetology school and in salon education.can be used by hairdresser, hair stylist, barber shop and the cosmetology school students"
feature_a1e8f011794d57eb,"★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.","entertaining & learning - doing hair with your kid, cultivate hands-on ability and develop imagination, this training head could be the bridge that sharing wonderful time with your kids"
feature_f417c0c9411b55dd,"★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.","come with free table clamp holder, note: for first used, pls comb from the hair bottom to above; it is common for losing a little hair first time and won't happen the next time"
feature_80282150d8e7a5f8,About Hairginkgo:,about hairginkgo
feature_2c69aecd440e16a8,"Hairginkgo is a brand registered in America. We are a factory who manufactured the manikins, wigs and have more than 15 years of experience in this sector.","hairginkgo is a brand registered in america. we are a factory who manufactured the manikins, wigs and have more than 15 years of experience in this sector"
feature_9904728b9b9825c8,"Our main market is USA, European countries, Japan and Brazil and have many retailers in these countries.","our main market is usa, european countries, japan and brazil and have many retailers in these countries"
feature_2bbb9ccc9591c242,"Healthy and High quality hair, exquisite facial make up and Vinyl head could aspire the stylist. At the same time, it would be a wonderful present for the little girl.","healthy and high quality hair, exquisite facial make up and vinyl head could aspire the stylist. at the same time, it would be a wonderful present for the little girl"
feature_4f014c3a5b447164,100% Satisfaction & Further Service: We take full responsibility for product quality. Please contact us if you have Any Problem of our product or service.,100% satisfaction & further service: we take full responsibility for product quality. please contact us if you have any problem of our product or service
feature_8f2ac4cb489ec4fa,The date mentioned on the product is manufacturing date (packed date). The product is good to use 12 months from this date.,the date mentioned on the product is manufacturing date (packed date). the product is good to use 12 months from this date
feature_ef29484651a803f4,"Himani Navratna Hair Oil is multifunctional hair oil which is made with only herbal ingredients which help with hair loss, rapidly increases hair growth, helps dandruff and soothes your mind. This is also a great massage oil and works for muscle aches and sprains!","himani navratna hair oil is multifunctional hair oil which is made with only herbal ingredients which help with hair loss, rapidly increases hair growth, helps dandruff and soothes your mind. this is also a great massage oil and works for muscle aches and sprains"
feature_763bba5ae76d5844,"Feature: 4 pieces strong interlocking teeth at each side can hold your hair in place well and make your hair look simple, elegant","feature: 4 pieces strong interlocking teeth at each side can hold your hair in place well and make your hair look simple, elegant"
feature_8d5db2559b1a2b99,"Quality hair clips: the hair claws are made of quality PC plastic with a long-term application; They are not easy to break, you can use them every day","quality hair clips: the hair claws are made of quality pc plastic with a long-term application; they are not easy to break, you can use them every day"
feature_2b764abed3c6a4d0,"Available Sizes: large size: 3.35 inch/ 8.5 cm in length, 3.15 inch/ 8 cm in width, 2.04 inch/ 5.2 cm in height; Small size : 1.77 inch/ 4.5 cm in length, 1.18 inch/ 3 cm in height, 2 sizes fit for most types of hair, especially for the thick long hair; We provide you with several size options, please refer to pictures for detailed information","available sizes: large size: 3.35 inch/ 8.5 cm in length, 3.15 inch/ 8 cm in width, 2.04 inch/ 5.2 cm in height; small size : 1.77 inch/ 4.5 cm in length, 1.18 inch/ 3 cm in height, 2 sizes fit for most types of hair, especially for the thick long hair; we provide you with several size options, please refer to pictures for detailed information"
feature_531cd814cb0b0301,"Package include: 4 pieces hair clips, the adequate quantity to meet your daily use and replacement needs, you can also give to your family, friends or classmates","package include: 4 pieces hair clips, the adequate quantity to meet your daily use and replacement needs, you can also give to your family, friends or classmates"
feature_f11d8f384888e8c8,Wide application: the classic colors of hair clips are suitable for both indoor and outdoor activities; They will help make a special hair style,wide application: the classic colors of hair clips are suitable for both indoor and outdoor activities; they will help make a special hair style
